MPN,Value,Package,Quantity
RC0402FR-07100KL,100k,C_0402_1005Metric,3
CL05B104KP5NNNC,100nF,C_0402_1005Metric,27
RC0402FR-0710KL,10k,R_0402_1005Metric,1
CL10A106MP8NNNC,10uF,C_0603_1608Metric,15
CL31A106MBHNNNE,10uF,C_1206_3216Metric,20
CL10A106MP8NNNC,10uF 0603,C_0603_1608Metric,11
1277AS-H-1R0M=P2,1277AS-H-1R0M=P2,L_1210_3225Metric,3
150060GS84000,150060GS84000,LED_0603_1608Metric,3
RC0402FR-07150KL,150k,R_0402_1005Metric,1
RC0402FR-07365KL,365k,R_0402_1005Metric,2
RC0402FR-074K7L,4.7k,R_0402_1005Metric,1
CL10A475KP8NNNC,4.7uF,C_0603_1608Metric,4
RC0402FR-07470RL,470,R_0402_1005Metric,3
RC0402FR-07470KL,470k,R_0402_1005Metric,1
RC0402FR-0747KL,47k,R_0402_1005Metric,2
AS5047P-ATSM,AS5047P-ATSM,TSSOP14_OSM,1
ECS-1633-480-BN-TR,ECS-1633-480-BN-TR,"4-SMD, No Lead",2
DF52-3S-0.8H(21),DF52-3S-0.8H(21),DF52-3S-0.8H(21),1
ESD9B3.3ST5G,ESD9B3.3ST5G,D_SOD-923,1
ESP32-WROOM-32E-H4,ESP32-WROOM-32E-H4,ESP32-WROOM-32,1
INA241B4IDDFR,INA241B4IDDFR,SOT-23-8,5
CRE2512-FZ-R001E-2,1mOhm,R_2512_6332Metric,5
RBB06DHHN,RBB06DHHN,RBB06DHHN,1
SPX3819M5-L-5-0,SPX3819M5-L-5-0,SOT-23-5,3
STM32G431CBT6,STM32G431CBT6,LQFP48-STM32,2
TPS63070,TPS63070,VQFN-TPS63070,3
