Ref,Val,Package,PosX,PosY,Rot,Side
"C3","100nF","C_0402_1005Metric",-8.400000,-6.550000,-90.000000,bottom
"C5","4.7uF","C_0603_1608Metric",-5.908500,-12.870000,180.000000,bottom
"C7","10uF","C_0603_1608Metric",-4.136400,-5.574600,-90.000000,bottom
"C8","100nF","C_0402_1005Metric",-13.123500,-0.125000,-90.000000,bottom
"C9","10uF","C_0603_1608Metric",-4.088500,3.950000,90.000000,bottom
"C10","100nF","C_0402_1005Metric",-5.150000,-7.950000,-90.000000,bottom
"C11","10uF","C_0603_1608Metric",-14.048500,0.350000,-90.000000,bottom
"C18","10uF","C_0603_1608Metric",-3.075000,-5.575000,-90.000000,bottom
"C19","100nF","C_0402_1005Metric",-3.075000,3.450000,90.000000,bottom
"C32","100nF","C_0402_1005Metric",-4.088500,-12.330000,-90.000000,bottom
"C33","10uF","C_0603_1608Metric",-9.498500,-9.010000,180.000000,bottom
"C34","100nF","C_0402_1005Metric",-7.718500,-8.720000,90.000000,bottom
"C35","10uF","C_0603_1608Metric",0.926500,-5.550000,0.000000,bottom
"C36","100nF","C_0402_1005Metric",-0.868500,-4.920000,180.000000,bottom
"C41","10uF","C_1206_3216Metric",10.551500,-6.380000,0.000000,bottom
"C45","10uF","C_1206_3216Metric",11.821500,-2.710000,0.000000,bottom
"C46","100nF","C_0402_1005Metric",-0.873500,-4.175000,180.000000,bottom
"C47","10uF","C_1206_3216Metric",11.831500,-4.530000,0.000000,bottom
"C48","10uF","C_1206_3216Metric",11.601500,5.950000,0.000000,bottom
"C49","10uF","C_1206_3216Metric",1.501500,5.960000,-90.000000,bottom
"C50","10uF","C_1206_3216Metric",1.191500,-11.750000,180.000000,bottom
"C53","10uF","C_1206_3216Metric",10.001500,7.850000,0.000000,bottom
"C54","10uF","C_1206_3216Metric",4.161500,5.160000,-90.000000,bottom
"C55","100nF","C_0402_1005Metric",3.926500,13.475000,0.000000,bottom
"C56","100nF","C_0402_1005Metric",6.721500,-5.580000,0.000000,bottom
"C57","100nF","C_0402_1005Metric",11.291500,4.370000,90.000000,bottom
"C58","10uF","C_1206_3216Metric",5.991500,5.200000,-90.000000,bottom
"C59","10uF","C_1206_3216Metric",-0.388500,5.900000,-90.000000,bottom
"C60","10uF","C_1206_3216Metric",6.271500,-3.380000,180.000000,bottom
"C61","10uF","C_1206_3216Metric",0.431500,-13.580000,180.000000,bottom
"J14","DF52-3S-0.8H(21)","DF52-3S-0.8H(21)",-12.140000,4.350000,70.000000,bottom
"R3","PA2512FKF7T0R003E","R_2512_6332Metric",4.144999,-9.075000,0.000000,bottom
"R7","PA2512FKF7T0R003E","R_2512_6332Metric",8.894999,0.075000,0.000000,bottom
"R13","PA2512FKF7T0R003E","R_2512_6332Metric",1.300650,9.913500,0.000000,bottom
"U2","STM32G431CBT6","LQFP48-STM32",-7.750000,-0.650000,90.000000,bottom
"U3","INA241B4IDDFR","SOT-23-8",4.144999,-5.815000,0.000000,bottom
"U5","INA241B4IDDFR","SOT-23-8",8.894999,3.335000,0.000000,bottom
"U6","SPX3819M5-L-5-0","SOT-23-5",-6.488500,-10.855000,180.000000,bottom
"U7","AS5047P-ATSM","TSSOP14_OSM",0.000000,0.000000,-90.000000,bottom
"U9","INA241B4IDDFR","SOT-23-8",1.300650,13.173500,0.000000,bottom
"U12","C2901617","ECS-1633-480-BN-TR",-6.579525,-6.663175,180.000000,bottom
