Ref,Val,Package,PosX,PosY,Rot,Side
"C7","10uF 0603","C_0603_1608Metric",205.900000,-115.075000,0.000000,top
"C11","10uF 0603","C_0603_1608Metric",191.360000,-103.215000,-90.000000,top
"C12","100nF","C_0402_1005Metric",193.080000,-101.410000,0.000000,top
"C13","10uF 0603","C_0603_1608Metric",196.550000,-103.175000,-90.000000,top
"C14","100nF","C_0402_1005Metric",197.420000,-103.125000,-90.000000,top
"C15","100nF","C_0402_1005Metric",212.710000,-93.940000,180.000000,top
"C16","4.7uF","C_0603_1608Metric",216.210000,-94.140000,0.000000,top
"C19","100nF","C_0402_1005Metric",216.260000,-93.300000,0.000000,top
"C22","10uF 0603 ","C_0603_1608Metric",190.820000,-113.160000,-90.000000,top
"C23","100nF","C_0402_1005Metric",193.880000,-114.870000,0.000000,top
"C24","10uF 0603 ","C_0603_1608Metric",196.080000,-111.060000,90.000000,top
"C25","10uF 0603 ","C_0603_1608Metric",195.060000,-97.480000,0.000000,top
"C26","100nF","C_0402_1005Metric",196.770000,-94.420000,90.000000,top
"C27","10uF 0603 ","C_0603_1608Metric",193.240000,-90.920000,180.000000,top
"C29","10uF 0603 ","C_0603_1608Metric",193.200000,-92.000000,180.000000,top
"C30","10uF 0603 ","C_0603_1608Metric",195.700000,-92.000000,0.000000,top
"C32","10uF 0603 ","C_0603_1608Metric",196.340000,-113.650000,-90.000000,top
"C33","10uF 0603 ","C_0603_1608Metric",192.140000,-105.410000,180.000000,top
"D4","150060GS84000","LED_0603_1608Metric",210.925000,-115.100000,180.000000,top
"D7","150060GS84000","LED_0603_1608Metric",207.150000,-94.050000,0.000000,top
"D8","ESD9B3.3ST5G","D_SOD-923",191.700000,-101.000000,-90.000000,top
"L1","1uH","L_1210_3225Metric",193.030000,-110.050000,0.000000,top
"L2","1uH","L_1210_3225Metric",191.950000,-95.270000,90.000000,top
"R3","470","R_0402_1005Metric",213.000000,-115.600000,0.000000,top
"R4","10k","R_0402_1005Metric",214.180000,-93.940000,0.000000,top
"R10","470k","R_0402_1005Metric",195.125000,-92.965000,0.000000,top
"R11","150k","R_0402_1005Metric",196.465000,-92.975000,0.000000,top
"R12","100k","C_0402_1005Metric",197.170000,-95.540000,180.000000,top
"R13","365k","R_0402_1005Metric",195.330000,-113.250000,-90.000000,top
"R14","47k","R_0402_1005Metric",195.330000,-114.580000,-90.000000,top
"R15","100k","C_0402_1005Metric",192.760000,-115.270000,90.000000,top
"R17","470","R_0402_1005Metric",205.160000,-94.050000,180.000000,top
"R18","4.7k","R_0402_1005Metric",214.275000,-115.025000,-90.000000,top
"U6","SPX3819M5-L-5-0","SOT-23-5",194.030000,-103.335000,0.000000,top
"U8","ESP32-WROOM-32E-H4","ESP32-WROOM-32",208.570000,-104.400000,-90.000000,top
"U10","TPS63070","VQFN-TPS63070",194.785000,-95.220000,180.000000,top
"U11","TPS63070","VQFN-TPS63070",193.080000,-112.885000,90.000000,top
