Ref,Val,Package,PosX,PosY,Rot,Side
"C2","4.7uF","C_0603_1608Metric",147.208250,-113.110000,-90.000000,bottom
"C3","100nF","C_0402_1005Metric",144.148250,-114.820000,180.000000,bottom
"C6","10uF","C_0603_1608Metric",140.633250,-113.795000,-90.000000,bottom
"C7","10uF","C_0603_1608Metric",141.728250,-113.750000,-90.000000,bottom
"C10","10uF","C_0603_1608Metric",141.728250,-111.250000,90.000000,bottom
"C11","10uF","C_0603_1608Metric",140.648250,-111.290000,90.000000,bottom
"D6","150060GS84000","LED_0603_1608Metric",138.838250,-114.410000,90.000000,bottom
"L1","1277AS-H-1R0M=P2","L_1210_3225Metric",144.998250,-110.000000,180.000000,bottom
"R4","365k","R_0402_1005Metric",142.693250,-113.175000,-90.000000,bottom
"R5","47k","R_0402_1005Metric",142.703250,-114.515000,-90.000000,bottom
"R6","100k","C_0402_1005Metric",145.728250,-114.840000,180.000000,bottom
"R10","470","R_0402_1005Metric",140.228250,-115.430000,180.000000,bottom
"U1","TPS63070","VQFN-TPS63070",144.948250,-112.835000,90.000000,bottom
